Nick,Level,Classe,Titulo,Atividade,Contribuicao,Poder
Salin,66,Cavaleiro,Membro,418,6230/38470,177433
Theroxman,66,Cavaleiro,Membro,507,9130/37015,168825
Jakke,66,Mercenario,Membro,540,"6915/40975,",164978
Drill,66,Bruxo,Membro,560,9940/48535,159836
Bardola,66,cacador,Membro,520,9740/36535,158475
apelaPATO,66,Cavaleiro,Lider,542,9865/42775,155656
SushiBoy,66,cacador,Membro,507,9090/42675,151894
DarkThor,66,Bruxo,Vice,560,9595/47215,151137
KozeN,66,Bruxo,Membro,543,9100/43655,150286
Obliterate,64,Sacerdote,Membro,285,2700/3015,149976
Lopes,66,cacador,Oficial,527,12055/52755,149732
Emmy,66,Bruxo,Membro,465,8140/42960,148774
LordSam,66,Cavaleiro,Membro,470,9400/42840,146763
JunSan,66,Mercenario,Membro,567,8900/44960,146670
Gutin,66,Ferreiro,Oficial,327,8030/42170,146618
ItzMeHolthy,65,Mercenario,Membro,504,8460/44500,146531
gabril,66,Mercenario,Membro,500,10170/49020,146071
ItzMeZappy,66,Cavaleiro,Membro,500,8930/41930,145602
zorNe,66,Mercenario,Membro,516,10200/40850,145077
elmmO,66,Cavaleiro,Membro,510,10340/21550,144962
Japaconha,66,cacador,Membro,483,9990/36900,144604
fznnn,66,Cacador,Membro,547,9910/43705,144480
Vnxz,66,Mercenario,Membro,560,9800/48325,144202
Bruxo,66,Bruxo,Membro,570,8485/37930,144107
ItzMePollus,66,Ferreiro,Membro,530,9720/45875,143849
HimuraDragon,66,Cavaleiro,Membro,534,10250/48945,143814
CallOnMe,65,Bruxo,Oficial,492,9960/45565,143126
Yoro,66,Bruxo,Membro,570,9550/43880,142882
Xexell,66,Cavaleiro,Membro,570,4960/37740,142271
ItzMejanjar,66,Sacerdote,Membro,524,10760/45120,141431
Vitata,66,Sacerdote,Membro,534,8880/46270,140522
PacMan,66,Cavaleiro,Membro,560,8575/42200,140369
KamusBR,66,Ferreiro,Membro,520,9950/48550,140173
OxigeniO,66,Bruxo,Membro,560,9320/43475,140136
Slevin,66,Bruxo,Membro,524,9520/44940,139872
ScreenPanzer,66,Sacerdote,Membro,560,8785/45325,139864
Manwé,66,Sacerdote,Membro,490,10150/46330,138915
Kolzera,66,Cavaleiro,Membro,557,8930/34320,138909
Fred,66,Cacador,Membro,505,8930/45380,138633
RockR,66,Cavaleiro,Membro,489,8900/14820,138472
Palax,65,Bruxo,Membro,505,8885/34085,138206
Tezka,65,Bruxo,Membro,408,9595/46135,138178
OdSola,66,Sacerdote,Membro,410,8250/41355,137990
Hoully,66,Bruxo,Membro,550,8200/42230,137759
shakaw,65,cacador,Comandante,339,7340/41005,137746
lanschi,66,Bruxo,Membro,500,10680/44390,137269
Dante,66,Cavaleiro,Membro,557,10050/37150,136179
Ywain,66,Bruxo,Membro,485,7300/30955,136152
Outsider,66,Cavaleiro,Membro,537,9820/46305,135751
Shakita,66,Sacerdote,Membro,561,10940/11640,135187
KachimboKobra,66,Cavaleiro,Membro,448,5280/37440,134342
Nyamoll,66,Ferreiro,Membro,560,10060/42750,134314
Maradei,65,Cavaleiro,Vice,495,8210/38885,133746
Burbuja,66,Sacerdote,Membro,530,10500/16020,133527
PlutoNash,66,Ferreiro,Membro,525,9670/38340,133207
Keko,66,Sacerdote,Membro,491,10460/40130,133100
Dellan,66,Cavaleiro,Membro,423,9275/40455,130449
Calango,65,Cavaleiro,Oficial,308,8510/38840,133091
mingau,65,Bruxo,Membro,353,7620/34880,133064
xMilk,65,Ferreiro,Membro,507,10800/49280,133063
H33RO,66,Mercenario,Membro,545,9710/41680,132934
Asteca,65,Cacador,Membro,329,6810/11630,132891
Greg,66,Bruxo,Membro,534,9500/40860,132642
Ecthelion,66,Sacerdote,Membro,451,8780/44410,132594
Lullabye,66,Cavaleiro,Bebe,398,6520/44900,132506
Rauta,65,Cavaleiro,Membro,162,180/180,132241
stubborn,66,Cavaleiro,Membro,554,9330/42930,132075
Nimble,66,Cacador,Membro,520,8890/44560,132037
Vancaster,66,Sacerdote,Membro,431,9850/42100,131678
kOlfZz,65,Ferreiro,Membro,381,9210/18420,130699
Lustfer,65,Ferreiro,Membro,517,7740/37635,129056
Matador,66,cacador,Membro,492,9710/40500,128868
FaTaL,66,Cacador,Membro,561,8560/35300,128019
Gobatto,65,Bruxo,Membro,430,9200/45795,127773
BARTHOL,66,Ferreiro,Membro,532,10340/36660,127738
ZeraKoN,66,Bruxo,Membro,570,10220/40720,127553
HungryJoker,65,Sacerdote,Membro,345,9105/41935,126860
Naira,65,Cacador,Membro,493,4510/33080,126628
Waxy,66,Bruxo,Membro,510,8800/9600,126445
Collide,66,Cavaleiro,Membro,500,9240/16460,126080
Return,65,cacador,Membro,440,8390/37660,125949
Sano,65,Mercenario,Membro,482,9190/38020,125627
Leestyle,65,Sacerdote,Membro,488,6920/40560,125101
Rehtim,66,Sacerdote,Membro,457,9120/15210,124899
Jango,65,Bruxo,Membro,4,8240/39210,124644
BustSpider,66,cacador,Membro,547,8610/42455,124160
Larah,65,Arqueiro,Membro,449,3750/12410,124151
Doppelganger,65,Cavaleiro,Membro,555,7850/33310,124141
Rune,66,Cacador,Membro,528,8930/42270,124002
Aniki,65,Sacerdote,Membro,511,6490/37800,123714
Laele,65,Cacador,Membro,419,7990/37100,123700
Darkpow,66,Sacerdote,Membro,450,6880/24400,122910
Zenske,65,Mercenario,Membro,520,9260/42810,122098
gapUhmann,65,Bruxo,Membro,486,7930/32790,121872
Keka,66,Sacerdote,Membro,456,8620/35470,121682
Abraxus,65,Sacerdote,Membro,391,7975/37695,121545
Lipeh,66,Cavaleiro,Membro,455,7945/3045,121436
LordVoldemort,65,Bruxo,Membro,407,5540/32210,121385
Mazen,66,cacador,Membro,440,8870/41940,120909
LariSONA,66,Sacerdote,Membro,398,8330/36960,120909
Aurora,65,Sacerdote,Membro,449,5100/34940,120801
Camis,65,Bruxo,Membro,499,8140/39830,120503
CocoComMilho,66,Bruxo,Membro,501,8350/30435,120155
PnaMakinA,65,Bruxo,Membro,490,9050/39615,119541
FeanOr,66,Ferreiro,Membro,459,4570/28790,119520
Rnoturno,62,Cavaleiro,Membro,412,7660/34155,119263
Kyouko,65,Bruxo,Membro,484,8615/37775,118885
Ricksls,65,Cavaleiro,Membro,421,7630/39330,118590
Walle,65,cacador,Membro,290,3450/33490,115249
Frost,65,Sacerdote,Membro,389,10850/40060,106306
