Nick,Level,Classe,Titulo,Atividade,Contribuicao,Poder
Salin,66,Cavaleiro,Membro,646,9160/41400,176854
Theroxman,67,Cavaleiro,Membro,795,14250/42135,172055
Jakke,67,Mercenario,Membro,935,11355/45415,169697
Drill,67,Bruxo,Membro,799,14400/52995,161029
Gutin,66,Ferreiro,Membro,481,9380/43520,160450
Bardola,67,Cacador,Membro,915,14000/40795,160051
Obliterate,66,Sacerdote,Membro,588,5620/5935,157858
apelaPATO,67,Cavaleiro,Lider,813,14125/47035,156917
Lopes,66,Cacador,Oficial,842,18375/59075,156299
SushiBoy,67,Cacador,Membro,780,13010/46595,156114
DarkThor,67,Bruxo,Vice,845,13635/51255,153429
Emmy,67,Bruxo,Membro,757,12370/47190,152878
KozeN,67,Bruxo,Membro,818,13335/47890,152398
zorNe,67,Mercenario,Membro,876,15820/46470,151184
LordSam,67,Cavaleiro,Membro,775,16040/49480,151039
Vnxz,67,Mercenario,Membro,935,14805/53330,150122
ItzMeHolthy,66,Mercenario,Membro,873,13440/49480,149490
JunSan,67,Mercenario,Membro,860,14120/50180,148162
CallOnMe,67,Bruxo,Oficial,812,14930/50535,148059
fznnn,66,Cacador,Membro,825,14080/47875,147692
Bruxo,67,Bruxo,Membro,925,12065/41510,147391
elmmO,67,Cavaleiro,Membro,802,14580/25790,147223
HimuraDragon,67,Cavaleiro,Membro,815,15000/53695,147218
ItzMeZappy,66,Cavaleiro,Membro,800,13290/46290,147107
KamusBR,67,Ferreiro,Membro,779,14870/53470,146540
gabril,66,Mercenario,Membro,806,14970/53820,146352
Xexell,67,Cavaleiro,Membro,945,7980/40760,146102
Yoro,67,Bruxo,Membro,945,14770/49100,146068
ItzMePollus,67,Ferreiro,Membro,925,15150/51305,145960
Japaconha,66,Cacador,Membro,678,11540/38450,145871
ItzMeJanjar,67,Sacerdote,Membro,925,15180/49540,145425
Manwé,67,Sacerdote,Membro,765,14650/50830,144383
HaddesS,67,Cacador,Membro,130,90/90,143725
NaBunda,67,Sacerdote,Membro,6,0/0,143720
Vitata,67,Sacerdote,Membro,775,13660/51050,143634
Slevin,67,Bruxo,Membro,822,13250/48670,143466
Tezka,66,Bruxo,Membro,790,15175/51715,143201
PacMan,67,Cavaleiro,Membro,787,12695/46320,142386
Fred,67,Cacador,Membro,809,14320/50770,141993
shakaw,67,Cacador,Comandante,728,11540/45205,141826
RockR,66,Cavaleiro,Membro,875,13030/18950,141817
Ywain,67,Bruxo,Membro,825,12420/36075,141563
OxigeniO,66,Bruxo,Membro,809,14000/48155,141148
Burbuja,67,Sacerdote,Membro,855,14720/20240,141016
Palax,66,Bruxo,Membro,800,9485/34685,141002
Maradei,67,Cavaleiro,Vice,907,12490/43165,140945
ScreenPanzer,66,Sacerdote,Membro,855,14265/50805,140695
OdSola,67,Sacerdote,Membro,945,12870/45975,140571
Kolzera,66,Cavaleiro,Membro,750,12530/37920,140247
Asteca,66,Cacador,Membro,604,12130/16950,139400
Dante,66,Cavaleiro,Membro,792,14010/41110,139179
Hoully,67,Bruxo,Membro,810,13560/47590,139085
mingau,66,Bruxo,Membro,685,11520/38780,138566
Rauta,66,Cavaleiro,Membro,439,4050/4050,138511
lanschi,66,Bruxo,Membro,835,15730/49440,138237
Calango,66,Cavaleiro,Oficial,645,12850/43180,138217
Shakita,67,Sacerdote,Membro,830,15090/15790,137791
PlutoNash,67,Ferreiro,Membro,830,14905/43575,137721
Outsider,66,Cavaleiro,Membro,821,14440/50925,137130
xMilk,66,Ferreiro,Membro,862,15930/54410,136860
ZeraKoN,67,Bruxo,Membro,927,14400/44900,136719
Keko,66,Sacerdote,Membro,817,14580/44250,136623
KachimboKobra,66,Cavaleiro,Membro,714,10860/43020,136548
Ecthelion,66,Sacerdote,Membro,768,12770/48400,136214
Greg,66,Bruxo,Membro,804,14300/45660,135777
Lullabye,67,Cavaleiro,Bebe,668,14650/53030,135500
stubborn,66,Cavaleiro,Membro,810,13280/46880,134665
Dellan,66,Cavaleiro,Membro,560,12665/43835,134553
H33RO,66,Mercenario,Membro,935,13940/45910,134346
Matador,66,Cacador,Membro,767,13750/44540,134084
Vancaster,67,Sacerdote,Membro,71,14430/46680,133973
Gobatto,66,Bruxo,Membro,613,14460/51055,133838
Nyamoll,67,Ferreiro,Membro,800,14100/46790,133801
Nimble,66,Cacador,Membro,835,13540/49210,133591
Lustfer,66,Ferreiro,Membro,873,12690/42585,133477
kOlfZz,66,Ferreiro,Membro,652,13520/22730,132937
Hungryjoker,66,Sacerdote,Membro,780,16795/49625,132640
Jango,66,Bruxo,Membro,790,14180/45150,131811
Leestyle,66,Sacerdote,Membro,775,14440/48080,131326
Keka,66,Sacerdote,Membro,794,16820/43670,130601
Doppelganger,67,Cavaleiro,Membro,838,12650/38110,130412
Return,66,Cacador,Membro,721,12250/41520,130242
Waxy,67,Bruxo,Membro,812,13800/14600,130117
FaTaL,66,Cacador,Membro,827,12600/39340,129757
Naira,55,Cacador,Membro,796,8520/37090,129665
BARTHOL,66,Ferreiro,Membro,743,14680/41000,129447
Abraxus,66,Sacerdote,Oficial,767,12395/42115,128623
Larah,66,Arqueiro,Membro,690,8250/16910,128269
gapUhmann,66,Bruxo,Membro,737,13350/38210,127748
Sano,66,Mercenario,Membro,676,12820/41650,127480
Rehtim,66,Sacerdote,Membro,687,14240/20330,127162
Mazen,67,Cacador,Membro,715,13750/46820,126979
Collide,67,Cavaleiro,Membro,802,14510/21730,126867
Laele,66,Cacador,Membro,766,12420/41530,126834
Lipeh,66,Cavaleiro,Membro,751,12705/43905,126662
Darkpow,67,Sacerdote,Membro,760,9930/27450,126504
BustSpider,66,Cacador,Membro,902,14030/47875,125822
Zenske,66,Mercenario,Membro,887,13960/47510,125663
Rune,66,Cacador,Membro,787,14490/47830,125452
LordVoldemort,66,Bruxo,Membro,734,11810/38480,125066
LariSONA,66,Sacerdote,Membro,557,14180/42810,124016
Aurora,66,Sacerdote,Membro,698,11190/41030,123166
PnaMakiNa,66,bruxo,Membro,691,13290/43855,123128
RNoturno,66,Cavaleiro,Membro,734,12360/38855,122251
FeanOr,66,Ferreiro,Membro,582,7660/31880,121892
Kyouko,66,Bruxo,Membro,838,11475/40635,121803
Ricksls,66,Cavaleiro,Membro,682,11730/43430,121599
Aniki,66,Sacerdote,Membro,828,10870/42180,121285
CocoComMilho,66,Bruxo,Membro,671,11770/33855,120916
Frost,66,Sacerdote,Membro,624,15010/44220,116926
